NO	KOPERASI	DESA	KECAMATAN	AKTIF	JENIS KOPERASI	KELOMPOK KOPERASI
95	Koperasi Agro Herbal Pertiwi Mojokerto	Pandanarum 	Pacet	TRUE	Konsumen	Kop. Lainnya
96	Koperasi Anugerah Karya Bersama	Mojosari	Pacet	TRUE	Konsumen	Kop. Lainnya
97	KOPERASI SIMPAN PINJAM DINAR MANDIRI SEJAHTERA	Desa Petak	Pacet	TRUE	Simpan Pinjam	Kop. Lainnya
98	Koperasi Wanita Bina Sejahtera	Desa Kemiri	Pacet	TRUE	Konsumen	Kop. Wanita
99	Koperasi Pertanian Tunas Tani Makmur	Ds. Wiyu	Pacet	FALSE	Produsen	Kop. Pertanian
100	Koperasi Wanita Wahyu Lestari	Wiyu	Pacet	TRUE	Konsumen	Kop. Wanita
101	Koperasi Pondok Pesantren Al Hasanah	Ds. Kesiman Tengah	Pacet	FALSE	Konsumen	Koppontren
102	Koperasi Wanita Mekar Sari Indah	Kesimantengah 	Pacet	TRUE	Konsumen	Kop. Wanita
103	Koperasi Pondok Pesantren Darun Najah	Ds. Sajen	Pacet	FALSE	Konsumen	Koppontren
104	Koperasi Serba Usaha Barokah Artha Sejahtera	Ds. Pacet	Pacet	TRUE	Konsumen	Kop. Serba Usaha
105	Koperasi Wanita Sajian Jaya	Desa Sajen	Pacet	TRUE	Konsumen	Kop. Wanita
106	Koperasi Karyawan Mega Gotong Royong I	-	Pacet	TRUE	Konsumen	Kopkar
107	Koperasi Karyawan Sativa Sanggraloka	Ds. Pacet	Pacet	FALSE	Konsumen	Kopkar
108	KSPPS Qonaah Aisyiyah	Pacet	Pacet	TRUE	Simpan Pinjam	Kop. Simpan Pinjam dan Pembiayaan Syariah
109	Koperasi Dhuafa	Ds. Pacet	Pacet	TRUE	Konsumen	Kop. Lainnya
110	Koperasi Agribisnis Dana Mulya	Pacet	Pacet	TRUE	Produsen	KUD
111	Koperasi Pondok Pesantren Rijan	Pacet	Pacet	TRUE	Konsumen	Koppontren
112	Koperasi Pondok Pesantren Saniyah	Ds. Pacet	Pacet	FALSE	Konsumen	Koppontren
113	Koperasi Pertanian Idaman	Ds. Pacet	Pacet	FALSE	Produsen	Kop. Pertanian
114	Koperasi Wanita Srikandi 2	Ds. Pacet	Pacet	FALSE	Konsumen	Kop. Wanita
115	Koperasi Unit Desa Tani Mulya	Pacet	Pacet	TRUE	Produsen	KUD
116	Koperasi Pondok Pesantren Hayam Wuruk	-	Pacet	FALSE	Konsumen	Koppontren
117	Koperasi Wanita Sahabat Pacet Lestari	Desa Pacet	Pacet	TRUE	Konsumen	Kop. Wanita
118	Koperasi Pandu Wisata	Ds. Pacet	Pacet	FALSE	Konsumen	Kop. Lainnya
119	Koperasi Pertanian KMDH Tegal Klopo	Pacet Selatan 	Pacet	FALSE	Produsen	Kop. Pertanian
120	Koperasi Langgeng Sentosa	Sajen	Pacet	TRUE	Konsumen	Kop. Serba Usaha
121	KOPERASI JASA MUSHLICH YUSUF SULAIMAN	Pacet	Pacet	TRUE	Jasa	Kop. Lainnya
